rpy.x,rpy.y,rpy.z
0.26714911447537193,-0.8006099939763489,2.5483575625507724
0.23185851328479717,-0.7672169193310767,2.524811887938794
0.19461311807534706,-0.7268470211202095,2.495168235011647
0.16015999975735967,-0.6863520704725433,2.4646727463144944
0.12988889991289074,-0.646694213880545,2.4318034787296816
0.10237805340083372,-0.6073808475072346,2.3958387684308695
0.07701402209958236,-0.5676680844581499,2.3572833630031487
0.05338181458412844,-0.5275150743409711,2.3156510340235195
0.03082130848577202,-0.4869041930973282,2.272105956817525
0.009476484854962535,-0.44609390802402177,2.226234353152331
-0.010732457383993862,-0.4050389468350473,2.178257119641315
-0.030170409363817832,-0.36392214422717684,2.128391593229309
-0.04913504490865252,-0.3224241901818573,2.076672186771902
-0.06744611652745182,-0.2806858809174385,2.023223600976463
-0.08529776852658813,-0.23893364551284144,1.9677695455210968
-0.10325607608442618,-0.19802532873392548,1.910824402642778
-0.12122363571870415,-0.156338721134378,1.8521586628396949
-0.13855613773899844,-0.11496889178730954,1.7919415184670562
-0.15605044288986847,-0.07362970530878996,1.7300029242111596
-0.17367362810303813,-0.03238426259101782,1.666370171653018
-0.19155892072129008,0.008451108448126594,1.6012089196734989
-0.20980318013810698,0.04891799680908338,1.5345880652600736
-0.22854255953046035,0.0890373338655787,1.466272248716574
-0.24788630731217867,0.12885136455144378,1.3960485726577556
-0.26754044262420856,0.16829414656514133,1.3241294275699196
-0.2879346940031938,0.20723660549074285,1.2504445228255765
-0.3095125858137622,0.24542181240757294,1.1748646195678538
-0.3316523457417201,0.2828087036438686,1.0975222004603769
-0.3548097012986928,0.319469845923944,1.0183173134281025
-0.37919106747329845,0.3553533180628049,0.9370678520509785
-0.4051271027712466,0.3904153712868661,0.8534448584425324
-0.4319831713318447,0.4245018811126184,0.7678366237985765
-0.46051404678389574,0.45734616151457647,0.6798887118290033
-0.49053118938187423,0.48889173498498983,0.5897743608616232
-0.5222158106811506,0.5192383807858263,0.4971059429495833
-0.5550300862150181,0.5481331823786165,0.40204806298360873
-0.5902580259280408,0.5755097211846035,0.3045048793421597
-0.6269822071203583,0.6011641198110685,0.20441025609279737
-0.6653263015847567,0.6249012099521354,0.10197631793883788
-0.7057483155328707,0.6466969100655807,-0.0030621404123672737
-0.747612985102088,0.6663928363075247,-0.10961290798742458
-0.791063936283155,0.6838571292945554,-0.21937411109694974
-0.8354747693005801,0.6990408635965895,-0.33069924673543133
-0.8738803825315937,0.7101354790484541,-0.4273055327440669
-0.8939928218342817,0.7152776465947307,-0.47729207050363376
-0.8972069888788153,0.7158139403266225,-0.48187578969758965
-0.8923949583653548,0.7144346822322319,-0.4689879227579992
-0.8881212727605341,0.7136565264598894,-0.4606929490478156
-0.8860781558477485,0.7135135445104407,-0.45752350350702115
-0.8858515952427874,0.7133907403205676,-0.45686206682946345
-0.8857993163633981,0.7132873672071349,-0.45664726907587966
-0.8828794158090549,0.7125513414724948,-0.4511828009582782
-0.866729304684582,0.7110365774117551,-0.4244851139967095
-0.8357217475577603,0.7101924135941875,-0.37837579364147406
-0.8035478303292168,0.7069348147280633,-0.3291458384386988
-0.7751180510429582,0.7013719357858214,-0.2827549591034222
-0.7454453543950776,0.6958948812159589,-0.23632515589776676
-0.7164012722235505,0.6895165498907659,-0.19129486010723243
-0.6885648906678249,0.6821407600766444,-0.14750989846428494
-0.6606034331762753,0.6739966089008145,-0.10380155385280672
-0.6331154211839811,0.6651393015801145,-0.06102300561160131
-0.6067469827494077,0.6552453590956622,-0.019265094274119723
-0.5805922392435238,0.6447098344998391,0.021819553850484428
-0.5547894131522064,0.6334066384076948,0.06234139195691773
-0.5296570794953098,0.6213712333572663,0.1020919952186261
-0.5053354918512925,0.608676269798636,0.14069242108643779
-0.4816443366566945,0.5952102475264781,0.17848152856140753
-0.45888515603114216,0.581129609841381,0.21530847553305893
-0.4366654088835027,0.5663997014655812,0.2513881520367075
-0.4149028790397434,0.5510764503070907,0.2866849352502412
-0.39408412959557965,0.5352480352759662,0.32088171516090724
-0.3738028668158522,0.518846994206627,0.35439395065904694
-0.35413424512594655,0.501997013599821,0.3869709851381902
